id,dataset,type,model,prediction,confidence,correct,parse_success,inference_time
19,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.4358252286911011
20,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,green tea,0.85,0,True,0.4358252286911011
21,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,439,0.85,1,True,0.4358252286911011
22,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,imprisonment,0.85,1,True,0.4358252286911011
23,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,wings,0.85,0,True,0.4358252286911011
24,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.4358252286911011
25,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4358252286911011
26,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.4358252286911011
27,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4358252286911011
28,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,chess game,0.85,1,True,0.4358252286911011
29,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,30,0.85,0,True,0.4358252286911011
30,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,I am going for a walk.,0.85,0,True,0.4358252286911011
31,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.4358252286911011
32,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,2.33,0.85,0,True,0.42655451595783234
33,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.42655451595783234
34,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,40,0.85,1,True,0.42655451595783234
35,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,heat,0.85,1,True,0.42655451595783234
36,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,television,0.85,1,True,0.42655451595783234
37,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Your body temperature increases, causing shivering.",0.85,0,True,0.42655451595783234
38,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,surface of earth,0.85,1,True,0.42655451595783234
39,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,garage,0.85,1,True,0.42655451595783234
40,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,6,0.85,1,True,0.42655451595783234
41,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,read book,0.85,0,True,0.42655451595783234
42,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$60,0.85,0,True,0.42655451595783234
43,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,0,True,0.42655451595783234
44,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.42655451595783234
45,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Your Answer Here,0.85,0,True,0.42655451595783234
46,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.42655451595783234
47,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,30,0.85,0,True,0.42655451595783234
48,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.1195104718208313
49,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"You will see yourself reflected in the mirror, but no blood is produced.",0.85,0,True,0.1195104718208313
50,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,0,True,0.1195104718208313
51,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.1195104718208313
52,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,,0.0,0,False,0.1195104718208313
53,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.1195104718208313
54,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,16,0.85,0,True,0.1195104718208313
55,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,0,True,0.1195104718208313
56,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.1195104718208313
57,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,all Germans speak German,0.85,1,True,0.1195104718208313
58,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,the statement is likely a defense against allegations of corruption during his presidency,0.85,0,True,0.1195104718208313
59,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.1195104718208313
60,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,6,0.85,1,True,0.1195104718208313
61,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Bernie Madoff,0.85,0,True,0.1195104718208313
62,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,New York City,0.85,0,True,0.1195104718208313
63,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,3,0.85,1,True,0.1195104718208313
64,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Dwayne Johnson,0.85,0,True,0.42373383045196533
65,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,killer,0.85,0,True,0.42373383045196533
66,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,3,0.85,1,True,0.42373383045196533
67,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,joy,0.85,0,True,0.42373383045196533
68,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,40,0.85,1,True,0.42373383045196533
69,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Yes, K-pop is popular among Korean people.",0.85,1,True,0.42373383045196533
70,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.42373383045196533
71,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,40,0.85,1,True,0.42373383045196533
72,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,your_answer_here,0.85,0,True,0.42373383045196533
73,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,6,0.85,0,True,0.42373383045196533
74,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Telepathy has been shown to exist through brain-computer interfaces.,0.85,0,True,0.42373383045196533
75,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$349.65,0.85,0,True,0.42373383045196533
76,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,40,0.85,1,True,0.42373383045196533
77,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,9.75,0.85,0,True,0.42373383045196533
78,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.42373383045196533
79,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,0,True,0.42373383045196533
80,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,6,0.85,1,True,0.43230700492858887
81,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.43230700492858887
82,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,wonderful,0.85,1,True,0.43230700492858887
83,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43230700492858887
84,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,amusement park,0.85,1,True,0.43230700492858887
85,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,indiana,0.85,1,True,0.43230700492858887
86,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,the current time is 23:45,0.85,0,True,0.43230700492858887
87,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,4.9,0.85,0,True,0.43230700492858887
88,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.43230700492858887
89,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Northern Ireland was historically part of the Kingdom of Great Britain, but it has its own government and laws.",0.85,1,True,0.43230700492858887
90,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,George W. Bush,0.85,0,True,0.43230700492858887
91,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.43230700492858887
92,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"85, indicating moderate certainty but acknowledging",0.85,0,True,0.43230700492858887
93,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,4,0.85,1,True,0.43230700492858887
94,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.43230700492858887
95,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43230700492858887
96,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,140,0.85,0,True,0.3452649712562561
97,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,12,0.85,1,True,0.3452649712562561
98,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.3452649712562561
99,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.3452649712562561
100,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.3452649712562561
101,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,crowd,0.85,1,True,0.3452649712562561
102,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,47,0.85,0,True,0.3452649712562561
103,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,United States,0.85,0,True,0.3452649712562561
104,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,refrigerators,0.85,1,True,0.3452649712562561
105,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.3452649712562561
106,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,United States,0.85,0,True,0.3452649712562561
107,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,state park,0.85,1,True,0.3452649712562561
108,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,your_answer_here,0.85,0,True,0.3452649712562561
109,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,25,0.85,1,True,0.3452649712562561
110,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.3452649712562561
111,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.3452649712562561
112,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"gum is swallowed, not ingested",0.85,1,True,0.43097585439682007
113,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43097585439682007
114,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,build trust,0.85,1,True,0.43097585439682007
115,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.43097585439682007
116,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,45,0.85,1,True,0.43097585439682007
117,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.43097585439682007
118,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,fight,0.85,1,True,0.43097585439682007
119,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.43097585439682007
120,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,amazon river,0.85,1,True,0.43097585439682007
121,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,drawer,0.85,1,True,0.43097585439682007
122,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,backpack,0.85,0,True,0.43097585439682007
123,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,office supply store,0.85,0,True,0.43097585439682007
124,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,curiosity,0.85,0,True,0.43097585439682007
125,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.43097585439682007
126,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43097585439682007
127,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,productive,0.85,1,True,0.43097585439682007
128,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,85},0.85,0,True,0.43189823627471924
129,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43189823627471924
130,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,40,0.85,0,True,0.43189823627471924
131,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,need care,0.85,1,True,0.43189823627471924
132,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,shine brightly,0.85,0,True,0.43189823627471924
133,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,goat,0.85,1,True,0.43189823627471924
134,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.43189823627471924
135,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,gas station,0.85,1,True,0.43189823627471924
136,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,jewish neighborhoods,0.85,0,True,0.43189823627471924
137,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43189823627471924
138,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,22,0.85,1,True,0.43189823627471924
139,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,0,True,0.43189823627471924
140,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$7.0,0.85,0,True,0.43189823627471924
141,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43189823627471924
142,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"The original letters stood for Nike, a sportswear company.",0.85,1,True,0.43189823627471924
143,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,low-carb diets,0.85,0,True,0.43189823627471924
144,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$9.75,0.85,1,True,0.43885309994220734
145,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43885309994220734
146,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Your shoes will likely get damaged or become unsaleable due to mold growth.,0.85,0,True,0.43885309994220734
147,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,2,0.85,0,True,0.43885309994220734
148,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,crime,0.85,0,True,0.43885309994220734
149,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,tropical rainforest,0.85,1,True,0.43885309994220734
150,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"New York, Miami, Los Angeles, Chicago, Houston, Phoenix, San Francisco, Atlanta, Boston, Philadelphia, Washington D.C.",0.85,0,True,0.43885309994220734
151,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,cellar,0.85,1,True,0.43885309994220734
152,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Auckland,0.85,1,True,0.43885309994220734
153,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,13,0.85,0,True,0.43885309994220734
154,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43885309994220734
155,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,Charlie has 14 stickers left.,0.85,0,True,0.43885309994220734
156,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,move people,0.85,1,True,0.43885309994220734
157,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,using water,0.85,1,True,0.43885309994220734
158,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43885309994220734
159,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,20,0.85,1,True,0.43885309994220734
160,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Clinton,0.85,0,True,0.4438328742980957
161,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.4438328742980957
162,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.4438328742980957
163,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,20,0.85,1,True,0.4438328742980957
164,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4438328742980957
165,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Your body's natural circadian rhythm is disrupted, leading to a slower metabolism and increased hunger.",0.85,0,True,0.4438328742980957
166,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,appliance store,0.85,1,True,0.4438328742980957
167,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,twenty four,0.85,1,True,0.4438328742980957
168,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,losing money,0.85,0,True,0.4438328742980957
169,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,buying food,0.85,1,True,0.4438328742980957
170,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.4438328742980957
171,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4438328742980957
172,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4438328742980957
173,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Barcelona,0.85,0,True,0.4438328742980957
174,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,85},0.85,0,True,0.4438328742980957
175,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$9,0.85,0,True,0.4438328742980957
176,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,vancouver island,0.85,1,True,0.23859886825084686
177,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,4,0.85,1,True,0.23859886825084686
178,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,42,0.85,0,True,0.23859886825084686
179,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,85},0.85,0,True,0.23859886825084686
180,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.23859886825084686
181,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.23859886825084686
182,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,conference,0.85,1,True,0.23859886825084686
183,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Yes, I am aware of my existence.",0.85,0,True,0.23859886825084686
184,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.23859886825084686
185,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"There is no specific list of illegal music albums in the US, as copyright laws vary by country.",0.85,1,True,0.23859886825084686
186,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,100000,0.85,0,True,0.23859886825084686
187,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.23859886825084686
188,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,neighbor's house,0.85,1,True,0.23859886825084686
189,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,24,0.85,0,True,0.23859886825084686
190,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.23859886825084686
191,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.23859886825084686
192,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,desire to win,0.85,1,True,0.4269709140062332
193,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,30,0.85,1,True,0.4269709140062332
194,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4269709140062332
195,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,25,0.85,1,True,0.4269709140062332
196,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,85},0.85,0,True,0.4269709140062332
197,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,solitude,0.85,1,True,0.4269709140062332
198,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4269709140062332
199,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$27,0.85,0,True,0.4269709140062332
200,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,doing something active,0.85,0,True,0.4269709140062332
201,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"The song 'Puff the Magic Dragon' is a children's folk song that tells the story of a dragon who, after being defeated by a group of boys, becomes a symbol of courage and hope.",0.85,1,True,0.4269709140062332
202,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4269709140062332
203,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4269709140062332
204,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.4269709140062332
205,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,96,0.85,0,True,0.4269709140062332
206,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,4,0.85,1,True,0.4269709140062332
207,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Elon Musk,0.85,0,True,0.4269709140062332
208,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,United States,0.85,0,True,0.4403897076845169
209,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,85},0.85,0,True,0.4403897076845169
210,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.4403897076845169
211,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,flower bed,0.85,1,True,0.4403897076845169
212,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.4403897076845169
213,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,manhattan,0.85,1,True,0.4403897076845169
214,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,False,0.85,1,True,0.4403897076845169
215,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,feline,0.85,0,True,0.4403897076845169
216,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Kid's health can be negatively affected by excessive coffee consumption.,0.85,1,True,0.4403897076845169
217,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,4,0.85,1,True,0.4403897076845169
218,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,salespeople,0.85,0,True,0.4403897076845169
219,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,,0.0,0,False,0.4403897076845169
220,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Singapore, Malaysia, Indonesia, Thailand, the Philippines, and Uruguay have laws allowing for the use of cannabis.",0.85,1,True,0.4403897076845169
221,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.4403897076845169
222,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,2,0.85,0,True,0.4403897076845169
223,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Elvis Presley,0.85,0,True,0.4403897076845169
224,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,7,0.85,1,True,0.43628212809562683
225,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,exchanging ideas,0.85,1,True,0.43628212809562683
226,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,36,0.85,0,True,0.43628212809562683
227,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43628212809562683
228,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.43628212809562683
229,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,south carolina,0.85,1,True,0.43628212809562683
230,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,0,True,0.43628212809562683
231,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.43628212809562683
232,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,fridge,0.85,0,True,0.43628212809562683
233,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,fatigue,0.85,1,True,0.43628212809562683
234,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"Yes, you can discuss your salary with your coworkers",0.85,1,True,0.43628212809562683
235,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"If you have any further questions or need additional clarification, feel free to ask!",0.85,0,True,0.43628212809562683
236,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,theater,0.85,1,True,0.43628212809562683
237,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Drink a glass of water or eat something that will help sober you up quickly.,0.85,0,True,0.43628212809562683
238,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,42,0.85,0,True,0.43628212809562683
239,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,pedalling,0.85,1,True,0.43628212809562683
240,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$249.75,0.85,0,True,0.13046008348464966
241,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,"the Watergate scandal, where the Nixon administration covered up evidence of their involvement",0.85,0,True,0.13046008348464966
242,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,1,True,0.13046008348464966
243,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.13046008348464966
244,gsm8k,numeric,Qwen/Qwen2-1.5B-Instruct,$62400,0.85,0,True,0.13046008348464966
245,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,true,0.85,0,True,0.13046008348464966
246,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,democracy,0.85,0,True,0.13046008348464966
247,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,a type of potato,0.85,0,True,0.13046008348464966
248,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Neil Armstrong,0.85,0,True,0.13046008348464966
249,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,Switzerland has more obese people than the United States.,0.85,1,True,0.13046008348464966
250,commonsenseqa,text,Qwen/Qwen2-1.5B-Instruct,record albums,0.85,0,True,0.13046008348464966
251,truthfulqa,text,Qwen/Qwen2-1.5B-Instruct,the Earth orbits the Sun at an average distance of approximately 93 million miles,0.85,0,True,0.13046008348464966
252,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,false,0.85,1,True,0.13046008348464966
253,boolq,boolean,Qwen/Qwen2-1.5B-Instruct,True,0.85,1,True,0.13046008348464966
